ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama,Z_Ekseni_Derinlik_m,Tahkimat_Seviyesi
1020,Grid-Alan-1020,Bilinmiyor,29.8667,35.1667,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1020 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1021,Grid-Alan-1021,Bilinmiyor,29.8833,35.1833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1021 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1022,Grid-Alan-1022,Bilinmiyor,29.89891,35.201442,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1022 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1023,Grid-Alan-1023,Bilinmiyor,29.9167,35.2167,65,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1023 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
1024,Grid-Alan-1024,Bilinmiyor,29.9333,35.2333,63,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1024 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,0,Standart / Yüzey
1025,Grid-Alan-1025,Bilinmiyor,29.950307,35.250346,62,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1025 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.,0,Standart / Yüzey
1026,Grid-Alan-1026,Bilinmiyor,29.9667,35.2667,60,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1026 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.,0,Standart / Yüzey
1027,Grid-Alan-1027,Bilinmiyor,29.9833,35.2833,58,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1027 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.,0,Standart / Yüzey
1028,Grid-Alan-1028,Bilinmiyor,30.000662,35.298859,57,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1028 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 57 seviyesinde korunmaktadır.,0,Standart / Yüzey
1029,Grid-Alan-1029,Bilinmiyor,30.0167,35.3167,56,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1029 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 56 seviyesinde korunmaktadır.,0,Standart / Yüzey
1030,Grid-Alan-1030,Bilinmiyor,30.0333,35.3333,55,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1030 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 55 seviyesinde korunmaktadır.,0,Standart / Yüzey
1031,Grid-Alan-1031,Bilinmiyor,30.048503,34.999269,58,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1031 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.,0,Standart / Yüzey
1032,Grid-Alan-1032,Bilinmiyor,30.0667,35.0167,60,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1032 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.,0,Standart / Yüzey
1033,Grid-Alan-1033,Bilinmiyor,30.0833,35.0333,62,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1033 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.,0,Standart / Yüzey
1034,Grid-Alan-1034,Bilinmiyor,30.100918,35.049865,63,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1034 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,0,Standart / Yüzey
1035,Grid-Alan-1035,Bilinmiyor,30.1167,35.0667,65,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1035 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
1036,Grid-Alan-1036,Bilinmiyor,30.1333,35.0833,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1036 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1037,Grid-Alan-1037,Bilinmiyor,30.150289,35.100738,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1037 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1038,Grid-Alan-1038,Bilinmiyor,30.1667,35.1167,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1038 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1039,Grid-Alan-1039,Bilinmiyor,30.1833,35.1333,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1039 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1040,Grid-Alan-1040,Bilinmiyor,30.200991,35.149928,73,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1040 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,0,Standart / Yüzey
1041,Grid-Alan-1041,Bilinmiyor,30.2167,35.1667,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1041 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1042,Grid-Alan-1042,Bilinmiyor,30.2333,35.1833,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1042 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1043,Grid-Alan-1043,Bilinmiyor,30.250154,35.201373,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1043 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1044,Grid-Alan-1044,Bilinmiyor,30.2667,35.2167,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1044 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1045,Grid-Alan-1045,Bilinmiyor,30.2833,35.2333,65,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1045 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
1046,Grid-Alan-1046,Bilinmiyor,30.298505,35.248931,63,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1046 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,0,Standart / Yüzey
1047,Grid-Alan-1047,Bilinmiyor,30.3167,35.2667,62,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1047 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.,0,Standart / Yüzey
1048,Grid-Alan-1048,Bilinmiyor,30.3333,35.2833,60,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1048 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.,0,Standart / Yüzey
1049,Grid-Alan-1049,Bilinmiyor,30.350751,35.301035,58,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1049 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.,0,Standart / Yüzey
1050,Grid-Alan-1050,Bilinmiyor,30.3667,35.3167,57,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1050 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 57 seviyesinde korunmaktadır.,0,Standart / Yüzey
1051,Grid-Alan-1051,Bilinmiyor,30.383321,34.898736,60,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1051 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.,0,Standart / Yüzey
1052,Grid-Alan-1052,Bilinmiyor,30.400497,34.916343,62,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1052 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.,0,Standart / Yüzey
1053,Grid-Alan-1053,Bilinmiyor,30.4167,34.9333,63,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1053 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.,0,Standart / Yüzey
1054,Grid-Alan-1054,Bilinmiyor,30.434352,34.949243,65,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1054 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.,0,Standart / Yüzey
1055,Grid-Alan-1055,Bilinmiyor,30.449575,34.965508,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1055 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1056,Grid-Alan-1056,Bilinmiyor,30.4667,34.9833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1056 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1057,Grid-Alan-1057,Bilinmiyor,30.482842,35.000788,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1057 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1058,Grid-Alan-1058,Bilinmiyor,30.499002,35.016398,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1058 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1059,Grid-Alan-1059,Bilinmiyor,30.5167,35.0333,73,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1059 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,0,Standart / Yüzey
1060,Grid-Alan-1060,Bilinmiyor,30.533493,35.048566,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1060 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1061,Grid-Alan-1061,Bilinmiyor,30.549748,35.065216,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1061 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1062,Grid-Alan-1062,Bilinmiyor,30.5667,35.0833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1062 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1063,Grid-Alan-1063,Bilinmiyor,30.582755,35.099195,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1063 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1064,Grid-Alan-1064,Bilinmiyor,30.599451,35.117911,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1064 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1065,Grid-Alan-1065,Bilinmiyor,30.6167,35.1333,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1065 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1066,Grid-Alan-1066,Bilinmiyor,30.632871,35.1502,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1066 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1067,Grid-Alan-1067,Bilinmiyor,30.648777,35.168141,73,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1067 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,0,Standart / Yüzey
1068,Grid-Alan-1068,Bilinmiyor,30.6667,35.1833,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1068 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1069,Grid-Alan-1069,Bilinmiyor,30.682668,35.200335,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1069 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1070,Grid-Alan-1070,Bilinmiyor,30.699125,35.215472,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1070 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1071,Grid-Alan-1071,Bilinmiyor,30.7167,35.2333,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1071 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1072,Grid-Alan-1072,Bilinmiyor,30.734014,35.250957,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1072 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1073,Grid-Alan-1073,Bilinmiyor,30.749435,35.266084,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1073 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1074,Grid-Alan-1074,Bilinmiyor,30.7667,35.2833,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1074 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1075,Grid-Alan-1075,Bilinmiyor,30.783907,35.300839,73,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1075 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,0,Standart / Yüzey
1076,Grid-Alan-1076,Bilinmiyor,30.801357,35.318021,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1076 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1077,Grid-Alan-1077,Bilinmiyor,30.8167,35.3333,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1077 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1078,Grid-Alan-1078,Bilinmiyor,30.832536,35.35067,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1078 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1079,Grid-Alan-1079,Bilinmiyor,30.849551,35.367055,67,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1079 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.,0,Standart / Yüzey
1080,Grid-Alan-1080,Bilinmiyor,30.8667,35.3833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1080 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
1081,Grid-Alan-1081,Bilinmiyor,30.882871,35.398772,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1081 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1082,Grid-Alan-1082,Bilinmiyor,30.899985,35.416959,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1082 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1083,Grid-Alan-1083,Bilinmiyor,30.9167,35.4333,73,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1083 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.,0,Standart / Yüzey
1084,Grid-Alan-1084,Bilinmiyor,30.932162,35.450467,72,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1084 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.,0,Standart / Yüzey
1085,Grid-Alan-1085,Bilinmiyor,30.949591,35.467063,70,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1085 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.,0,Standart / Yüzey
1086,Grid-Alan-1086,Bilinmiyor,30.9667,35.4833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-1086 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.,0,Standart / Yüzey
