ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
1669,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 20C,fuze,32.7614,35.2301,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1669 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1670,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 37B,fuze,33.0904,35.5979,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1670 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1671,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 27A,fuze,33.3397,35.5569,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1671 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1672,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 77B,fuze,32.7182,35.5359,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1672 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1673,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 70A,fuze,32.5472,35.3306,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1673 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1674,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 30D,fuze,32.5047,35.4403,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1674 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1675,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 46C,fuze,32.9297,35.1596,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1675 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1676,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 21B,fuze,33.0813,35.7263,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1676 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1677,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 32A,fuze,33.3219,35.1401,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1677 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1678,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 47A,fuze,33.2092,35.149,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1678 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1679,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 52C,fuze,32.7686,35.4822,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1679 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1680,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 73B,fuze,33.3902,35.4346,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1680 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1681,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 52B,fuze,32.7456,35.6471,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1681 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1682,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 11C,fuze,33.0835,35.5749,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1682 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1683,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 32D,fuze,33.011,35.6058,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1683 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1684,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 95A,fuze,32.9638,35.0694,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1684 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1685,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 41A,fuze,33.3835,35.382,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1685 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1686,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 44C,fuze,32.8452,35.3574,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1686 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1687,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 43C,fuze,33.0242,35.4583,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1687 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1688,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 49B,fuze,32.5559,35.0946,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1688 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1689,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 49A,fuze,33.1175,35.7385,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1689 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1690,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 27D,fuze,32.8308,35.1767,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1690 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1691,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 57D,fuze,32.9095,35.7911,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1691 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1692,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 37B,fuze,33.1816,35.6416,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1692 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1693,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 56A,fuze,32.973,35.4225,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1693 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1694,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 74B,fuze,32.5556,35.4381,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1694 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1695,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 66A,fuze,32.6481,35.6836,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1695 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1696,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 75D,fuze,33.1452,35.3911,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1696 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1697,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 68A,fuze,32.9081,35.4106,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1697 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1698,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 12D,fuze,33.1055,35.2465,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1698 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1699,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 84A,fuze,33.2348,35.5966,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1699 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1700,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 79A,fuze,32.8813,35.5603,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1700 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1701,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 46D,fuze,33.3875,35.3777,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1701 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1702,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 92D,fuze,33.1921,35.6127,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1702 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1703,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 58D,fuze,33.3936,35.306,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1703 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1704,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 79B,fuze,33.1145,35.5294,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1704 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1705,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 60B,fuze,32.6068,35.7943,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1705 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1706,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 48D,fuze,33.2513,35.6049,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1706 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1707,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 41D,fuze,32.9787,35.6587,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1707 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1708,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 24A,fuze,32.6396,35.1508,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1708 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1709,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 12B,fuze,33.0534,35.749,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1709 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1710,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 67A,fuze,32.5606,35.4752,84,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1710 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 84 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1711,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 39B,fuze,33.1665,35.3218,85,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1711 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 85 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1712,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 39C,fuze,32.6261,35.7948,83,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1712 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 83 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1713,Otonom İHA Sürü Başlatıcı (Gizli) - Sektör 94B,fuze,32.7132,35.701,82,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,0.8,ID-1713 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1714,Hava Savunma Yedek Mühimmat Deposu - Sektör 85B,havasavunma,30.9015,34.561,89,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1714 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 89 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1715,Hava Savunma Yedek Mühimmat Deposu - Sektör 54D,havasavunma,31.6676,34.5469,90,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1715 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1716,Hava Savunma Yedek Mühimmat Deposu - Sektör 48D,havasavunma,32.0889,34.9083,91,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1716 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 91 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1717,Hava Savunma Yedek Mühimmat Deposu - Sektör 38C,havasavunma,32.2632,34.9735,91,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1717 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 91 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1718,Hava Savunma Yedek Mühimmat Deposu - Sektör 81D,havasavunma,32.4173,35.4147,89,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1718 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 89 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1719,Hava Savunma Yedek Mühimmat Deposu - Sektör 41C,havasavunma,31.6719,34.6341,91,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1719 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 91 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1720,Hava Savunma Yedek Mühimmat Deposu - Sektör 67C,havasavunma,30.9908,34.5791,92,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1720 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1721,Hava Savunma Yedek Mühimmat Deposu - Sektör 16C,havasavunma,31.6069,35.3294,89,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1721 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 89 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1722,Hava Savunma Yedek Mühimmat Deposu - Sektör 19B,havasavunma,32.021,35.1029,91,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1722 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 91 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1723,Hava Savunma Yedek Mühimmat Deposu - Sektör 52C,havasavunma,31.4382,35.3695,92,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1723 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1724,Hava Savunma Yedek Mühimmat Deposu - Sektör 25D,havasavunma,30.6354,34.69,91,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1724 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 91 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1725,Hava Savunma Yedek Mühimmat Deposu - Sektör 60B,havasavunma,32.0869,35.2038,90,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1725 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
1726,Hava Savunma Yedek Mühimmat Deposu - Sektör 78C,havasavunma,32.3265,34.8807,90,Doğrulandı,Tahmini İstihbarat (OSINT/Doctrine),Gerçek Operasyonel Hedef,2.0,ID-1726 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
