ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama
971,Grid-DS-011,Bilinmiyor,30.6667,35.2667,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-971 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
972,Grid-DS-012,Bilinmiyor,30.6833,35.2833,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-972 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
973,Grid-DS-013,Bilinmiyor,30.70128,35.299807,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-973 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
974,Grid-DS-014,Bilinmiyor,30.7167,35.3167,73,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-974 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
975,Grid-DS-015,Bilinmiyor,30.7333,35.3333,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-975 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
976,Grid-DS-016,Bilinmiyor,30.751384,35.348911,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-976 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
977,Grid-DS-017,Bilinmiyor,30.7667,35.3667,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-977 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
978,Grid-DS-018,Bilinmiyor,30.7833,35.3833,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-978 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
979,Grid-DS-019,Bilinmiyor,30.799446,35.399913,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-979 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
980,Grid-DS-020,Bilinmiyor,30.8167,35.4167,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-980 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
981,Grid-E1-001,Bilinmiyor,31.500101,35.199736,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-981 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
982,Grid-E1-002,Bilinmiyor,31.5167,35.2167,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-982 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
983,Grid-E1-003,Bilinmiyor,31.5333,35.2333,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-983 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
984,Grid-E1-004,Bilinmiyor,31.549176,35.250382,73,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-984 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
985,Grid-E1-005,Bilinmiyor,31.5667,35.2667,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-985 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
986,Grid-E1-006,Bilinmiyor,31.5833,35.2833,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-986 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
987,Grid-E1-007,Bilinmiyor,31.599718,35.299677,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-987 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
988,Grid-E1-008,Bilinmiyor,31.6167,35.3167,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-988 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
989,Grid-E1-009,Bilinmiyor,31.6333,35.3333,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-989 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
990,Grid-E1-010,Bilinmiyor,31.651442,35.34931,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-990 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
991,Grid-E1-011,Bilinmiyor,31.6667,35.3667,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-991 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
992,Grid-E1-012,Bilinmiyor,31.6833,35.3833,73,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-992 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
993,Grid-E1-013,Bilinmiyor,31.699242,35.399004,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-993 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
994,Grid-E1-014,Bilinmiyor,31.7167,35.4167,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-994 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
995,Grid-E1-015,Bilinmiyor,31.7333,35.4333,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-995 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
996,Grid-E1-016,Bilinmiyor,31.749093,35.449445,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-996 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
997,Grid-E1-017,Bilinmiyor,31.7667,35.4667,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-997 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
998,Grid-E1-018,Bilinmiyor,31.7833,35.4833,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-998 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
999,Grid-E1-019,Bilinmiyor,31.80091,35.500083,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-999 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
1000,Grid-E1-020,Bilinmiyor,31.8167,35.5167,73,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1000 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
1001,Grid-Alan-1001,Bilinmiyor,29.549419,34.849295,55,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1001 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 55 seviyesinde korunmaktadır.
1002,Grid-Alan-1002,Bilinmiyor,29.5667,34.8667,53,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1002 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 53 seviyesinde korunmaktadır.
1003,Grid-Alan-1003,Bilinmiyor,29.5833,34.8833,52,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1003 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 52 seviyesinde korunmaktadır.
1004,Grid-Alan-1004,Bilinmiyor,29.598617,34.901069,54,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1004 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 54 seviyesinde korunmaktadır.
1005,Grid-Alan-1005,Bilinmiyor,29.6167,34.9167,55,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1005 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 55 seviyesinde korunmaktadır.
1006,Grid-Alan-1006,Bilinmiyor,29.6333,34.9333,56,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1006 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 56 seviyesinde korunmaktadır.
1007,Grid-Alan-1007,Bilinmiyor,29.650145,34.950892,57,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1007 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 57 seviyesinde korunmaktadır.
1008,Grid-Alan-1008,Bilinmiyor,29.6667,34.9667,58,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1008 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.
1009,Grid-Alan-1009,Bilinmiyor,29.6833,34.9833,59,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1009 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 59 seviyesinde korunmaktadır.
1010,Grid-Alan-1010,Bilinmiyor,29.699683,34.999027,60,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1010 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.
1011,Grid-Alan-1011,Bilinmiyor,29.7167,35.0167,61,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1011 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 61 seviyesinde korunmaktadır.
1012,Grid-Alan-1012,Bilinmiyor,29.7333,35.0333,62,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1012 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.
1013,Grid-Alan-1013,Bilinmiyor,29.750171,35.048666,63,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1013 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.
1014,Grid-Alan-1014,Bilinmiyor,29.7667,35.0667,64,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1014 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 64 seviyesinde korunmaktadır.
1015,Grid-Alan-1015,Bilinmiyor,29.7833,35.0833,65,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1015 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.
1016,Grid-Alan-1016,Bilinmiyor,29.801016,35.100622,66,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1016 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 66 seviyesinde korunmaktadır.
1017,Grid-Alan-1017,Bilinmiyor,29.8167,35.1167,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1017 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
1018,Grid-Alan-1018,Bilinmiyor,29.8333,35.1333,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1018 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
1019,Grid-Alan-1019,Bilinmiyor,29.849472,35.148853,69,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1019 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 69 seviyesinde korunmaktadır.
1020,Grid-Alan-1020,Bilinmiyor,29.8667,35.1667,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1020 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
1021,Grid-Alan-1021,Bilinmiyor,29.8833,35.1833,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1021 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
1022,Grid-Alan-1022,Bilinmiyor,29.89891,35.201442,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1022 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
1023,Grid-Alan-1023,Bilinmiyor,29.9167,35.2167,65,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1023 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.
1024,Grid-Alan-1024,Bilinmiyor,29.9333,35.2333,63,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1024 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.
1025,Grid-Alan-1025,Bilinmiyor,29.950307,35.250346,62,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1025 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.
1026,Grid-Alan-1026,Bilinmiyor,29.9667,35.2667,60,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1026 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.
1027,Grid-Alan-1027,Bilinmiyor,29.9833,35.2833,58,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1027 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.
1028,Grid-Alan-1028,Bilinmiyor,30.000662,35.298859,57,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1028 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 57 seviyesinde korunmaktadır.
1029,Grid-Alan-1029,Bilinmiyor,30.0167,35.3167,56,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1029 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 56 seviyesinde korunmaktadır.
1030,Grid-Alan-1030,Bilinmiyor,30.0333,35.3333,55,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1030 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 55 seviyesinde korunmaktadır.
1031,Grid-Alan-1031,Bilinmiyor,30.048503,34.999269,58,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1031 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 58 seviyesinde korunmaktadır.
1032,Grid-Alan-1032,Bilinmiyor,30.0667,35.0167,60,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1032 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 60 seviyesinde korunmaktadır.
1033,Grid-Alan-1033,Bilinmiyor,30.0833,35.0333,62,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1033 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 62 seviyesinde korunmaktadır.
1034,Grid-Alan-1034,Bilinmiyor,30.100918,35.049865,63,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1034 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 63 seviyesinde korunmaktadır.
1035,Grid-Alan-1035,Bilinmiyor,30.1167,35.0667,65,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1035 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 65 seviyesinde korunmaktadır.
1036,Grid-Alan-1036,Bilinmiyor,30.1333,35.0833,67,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1036 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 67 seviyesinde korunmaktadır.
1037,Grid-Alan-1037,Bilinmiyor,30.150289,35.100738,68,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1037 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 68 seviyesinde korunmaktadır.
1038,Grid-Alan-1038,Bilinmiyor,30.1667,35.1167,70,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1038 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 70 seviyesinde korunmaktadır.
1039,Grid-Alan-1039,Bilinmiyor,30.1833,35.1333,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1039 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
1040,Grid-Alan-1040,Bilinmiyor,30.200991,35.149928,73,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1040 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 73 seviyesinde korunmaktadır.
1041,Grid-Alan-1041,Bilinmiyor,30.2167,35.1667,72,KONTROL ET,,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-1041 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 72 seviyesinde korunmaktadır.
